stock_id,name,per_latest,per_120d_high,per_120d_low,per_latest_is_prev,valuation_updated_at,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
0056,元大高股息,,,,False,2026-09-25 01:56:54,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:55
00662,富邦NASDAQ,,,,False,2026-09-25 01:56:55,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:55
00878,國泰永續高股息,,,,False,2026-09-25 01:56:55,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:56
00892,富邦台灣半導體,,,,False,2026-09-25 01:56:56,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:57
00919,群益台灣精選高息,,,,False,2026-09-25 01:56:57,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:57
00941,中信上游半導體,,,,False,2026-09-25 01:56:57,no_data,empty,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:58
1101,台泥,0.0,0.0,0.0,False,2026-09-25 01:56:58,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:58
1216,統一,18.0,21.7,17.63,False,2026-09-25 01:56:58,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:56:59
1301,台塑,39.09,41.34,0.0,False,2026-09-25 01:56:59,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:00
1303,南亞,38.39,164.91,29.03,False,2026-09-25 01:57:00,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:01
1319,東陽,12.81,19.21,11.45,False,2026-09-25 01:57:01,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:01
1326,台化,28.39,478.0,0.0,False,2026-09-25 01:57:01,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:02
1402,遠東新,14.59,18.42,14.04,False,2026-09-25 01:57:02,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:03
1503,士電,27.0,39.94,26.86,False,2026-09-25 01:57:03,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:03
1504,東元,24.82,38.67,24.38,False,2026-09-25 01:57:03,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:04
1513,中興電,18.67,22.72,17.86,False,2026-09-25 01:57:04,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:05
1514,亞力,27.95,43.59,26.82,False,2026-09-25 01:57:05,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:05
1519,華城,45.75,65.83,44.88,False,2026-09-25 01:57:05,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:06
1532,勤美,18.13,22.37,17.44,False,2026-09-25 01:57:06,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:06
1560,中砂,82.57,82.57,51.3,False,2026-09-25 01:57:06,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:07
1590,亞德客-KY,23.25,36.9,23.25,False,2026-09-25 01:57:07,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:08
1605,華新,11.11,49.79,10.57,False,2026-09-25 01:57:08,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:08
1727,中華化,167.39,2080.0,108.84,False,2026-09-25 01:57:08,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:09
1802,台玻,67.91,589.23,0.0,False,2026-09-25 01:57:09,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:09
1815,富喬,33.62,77.44,26.06,False,2026-09-25 01:57:09,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:10
2002,中鋼,0.0,0.0,0.0,False,2026-09-25 01:57:10,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:11
2059,川湖,68.09,83.69,30.76,False,2026-09-25 01:57:11,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:11
2207,和泰車,12.54,16.34,12.4,False,2026-09-25 01:57:11,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:12
2233,宇隆,24.15,60.85,23.05,False,2026-09-25 01:57:12,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:12
2301,光寶科,33.57,37.13,21.4,False,2026-09-25 01:57:12,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:13
2303,聯電,23.16,44.85,16.54,False,2026-09-25 01:57:13,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:13
2308,台達電,60.79,93.56,47.58,False,2026-09-25 01:57:13,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:14
2313,華通,35.83,52.65,27.16,False,2026-09-25 01:57:14,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:14
2317,鴻海,16.51,21.95,14.16,False,2026-09-25 01:57:14,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:15
2324,仁寶,18.34,35.38,18.34,False,2026-09-25 01:57:15,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:16
2327,國巨*,39.06,89.76,22.28,False,2026-09-25 01:57:16,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:16
2330,台積電,28.69,34.87,27.24,False,2026-09-25 01:57:16,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:17
2337,旺宏,27.73,32.46,0.0,False,2026-09-25 01:57:17,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:17
2338,光罩,0.0,0.0,0.0,False,2026-09-25 01:57:17,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:18
2344,華邦電,18.91,108.64,17.59,False,2026-09-25 01:57:18,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:19
2345,智邦,29.77,54.32,28.28,False,2026-09-25 01:57:19,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:19
2347,聯強,12.93,16.89,11.76,False,2026-09-25 01:57:19,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:20
2353,宏碁,18.9,32.88,18.01,False,2026-09-25 01:57:20,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:20
2356,英業達,19.32,32.47,16.88,False,2026-09-25 01:57:20,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:21
2357,華碩,13.93,16.64,9.17,False,2026-09-25 01:57:21,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:21
2360,致茂,58.55,88.41,50.0,False,2026-09-25 01:57:21,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:22
2368,金像電,39.66,77.85,32.55,False,2026-09-25 01:57:22,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:23
2376,技嘉,13.53,18.64,12.23,False,2026-09-25 01:57:23,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:23
2377,微星,13.14,16.2,10.97,False,2026-09-25 01:57:23,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:24
2379,瑞昱,27.16,32.4,17.44,False,2026-09-25 01:57:24,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:24
2382,廣達,14.75,20.97,14.01,False,2026-09-25 01:57:24,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:25
2383,台光電,78.97,131.89,67.47,False,2026-09-25 01:57:25,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:25
2395,研華,45.73,46.55,26.37,False,2026-09-25 01:57:25,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:26
2402,毅嘉,32.81,37.25,21.14,False,2026-09-25 01:57:26,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:27
2404,漢唐,19.38,25.74,15.16,False,2026-09-25 01:57:27,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:27
2408,南亞科,19.52,120.42,17.27,False,2026-09-25 01:57:27,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:28
2409,友達,142.5,152.71,17.86,False,2026-09-25 01:57:28,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:28
2412,中華電,28.49,29.13,26.44,False,2026-09-25 01:57:28,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:29
2449,京元電子,40.76,47.63,27.61,False,2026-09-25 01:57:29,ok,,ok,FINMIND_TOKEN,eyJ0...py2s,451,6000,5549,2026-09-25 01:57:30
